user_id,text_id,text,timestamp,collection_phase,is_words,valence,arousal,state_change_valence,state_change_arousal,word_count,is_feeling_words,sentiment_polarity,positive_word_ratio,negative_word_ratio,avg_word_length,first_person_count,exclamation_count,intensifier_count,hour_of_day,day_of_week,first_date,days_since_first,user_mean_valence,user_mean_arousal,user_last_valence,user_last_arousal,user_val_std,user_entry_count,user_val_trend
1,200,"I feel good .   I caught up on some sleep . Work went well for me . I’m very relaxed and happy . I did have sone alcoholic beverages , but i spread them out throughout the day . I was never overly intoxicated .",2021-06-09 12:41:57,1,False,4.0,2.0,0.0,0.0,45,0,0.7374,0.221,0.0,3.6444444444444444,6,0,1,12,2,2021-06-09 12:41:57,0,2.0,1.0,2.0,1.0,0.0,0,0.0
1,201,I’ve been feeling good for days and days . I really have a normal Routine .   I probably am happy because if my meth usage . Yea I smoke up a fat bowl of crystal then fuck my girlfriend . Oh yea baby oh yea !!!,2021-06-11 12:01:45,1,False,4.0,2.0,-2.0,0.0,46,0,0.6679,0.197,0.077,3.5434782608695654,5,3,1,12,4,2021-06-09 12:41:57,1,4.0,2.0,4.0,2.0,0.0,1,0.0
1,202,"I’ve been feeling fine personally . I’ve been trying to stay positive , but because of the tragedic events of yesterday it’s been very hard to do . Business at the bar sucked because sone many ppl didn’t come out last night . I feel like I’m cursed because there has been one event after another that has severely effected business .",2021-06-13 13:15:07,1,False,2.0,2.0,2.0,0.0,62,0,-0.5913,0.122,0.149,4.387096774193548,1,0,1,13,6,2021-06-09 12:41:57,4,4.0,2.0,4.0,2.0,0.0,2,0.0
1,203,"I feel great . I’ve had a day off . I’m going to go to my mom’s birthday . I love having dinner with my mom . She always treats me , but tonight I think I’ll treat her .   So I’m not sure if that maters . I’m just say that because it makes me feel happy to be having dinner with my mom .",2021-06-16 12:03:12,1,False,4.0,2.0,0.0,1.0,66,0,0.8982,0.21,0.043,3.3333333333333335,8,0,1,12,2,2021-06-09 12:41:57,6,3.3333333333333335,2.0,2.0,2.0,1.1547005383792515,3,-1.0
1,204,"I feel great today . I am well rested . I have a positive attitude about how the rest of the day will go . I feel energized , so work today should be great .    I don’t think that my mood will change . I’m very stable right now .",2021-06-17 12:38:38,1,False,4.0,3.0,0.0,0.0,51,0,0.9623,0.381,0.0,3.450980392156863,6,0,2,12,3,2021-06-09 12:41:57,7,3.5,2.0,4.0,2.0,1.0,4,-1.0
2,23,"Productive , Tired , Active , Pleased , Busy",2021-06-08 15:11:55,1,True,2.0,3.0,0.0,0.0,9,1,0.4019,0.533,0.276,4.0,0,0,0,15,1,2021-06-08 15:11:55,0,2.0,1.0,2.0,1.0,0.0,0,0.0
2,24,"Productive , Busy , Content",2021-06-11 17:10:13,1,True,2.0,3.0,2.0,-2.0,5,1,0.0,0.0,0.0,4.6,0,0,0,17,4,2021-06-08 15:11:55,3,2.0,3.0,2.0,3.0,0.0,1,0.0
2,25,"Relaxed , Content , Comfy , Happy , Calm",2021-06-15 16:35:44,1,True,4.0,1.0,0.0,1.0,9,1,0.8481,0.821,0.0,3.5555555555555554,0,0,0,16,1,2021-06-08 15:11:55,7,2.0,3.0,2.0,3.0,0.0,2,0.0
2,22,"Productive , Relaxed , Happy , Content",2021-06-18 15:36:22,1,True,4.0,2.0,0.0,-1.0,7,1,0.7845,0.775,0.0,4.571428571428571,0,0,0,15,4,2021-06-08 15:11:55,10,2.6666666666666665,2.3333333333333335,4.0,1.0,1.1547005383792515,3,1.0
2,34,"Relaxed , Rested , Happy , Pleased , Content",2022-02-11 12:51:15,2,True,4.0,1.0,0.0,0.0,9,1,0.8689,0.831,0.0,4.0,0,0,0,12,4,2021-06-08 15:11:55,247,3.0,2.25,4.0,2.0,1.1547005383792515,4,2.0
2,35,"Content , Calm , Relaxed , Hungry , Happy",2022-02-11 15:01:04,2,True,4.0,1.0,0.0,0.0,9,1,0.8481,0.821,0.0,3.6666666666666665,0,0,0,15,4,2021-06-08 15:11:55,247,3.2,2.0,4.0,1.0,1.0954451150103321,5,2.0
2,36,"Refreshed , Relaxed , Motivated , Happy , Content",2022-02-12 20:06:00,2,True,4.0,1.0,0.0,0.0,9,1,0.872,0.832,0.0,4.555555555555555,0,0,0,20,5,2021-06-08 15:11:55,249,3.3333333333333335,1.8333333333333333,4.0,1.0,1.0327955589886446,6,1.3333333333333335
2,37,"Relaxed , Rested , Calm , Comfy , Content",2022-02-14 15:01:30,2,True,4.0,1.0,0.0,0.0,9,1,0.6705,0.647,0.0,3.6666666666666665,0,0,0,15,0,2021-06-08 15:11:55,250,3.4285714285714284,1.7142857142857142,4.0,1.0,0.9759000729485333,7,1.3333333333333335
2,38,"Relaxed , Content , Comfy",2022-02-14 20:55:39,2,True,4.0,1.0,0.0,0.0,5,1,0.4939,0.615,0.0,4.2,0,0,0,20,0,2021-06-08 15:11:55,251,3.5,1.625,4.0,1.0,0.9258200997725514,8,1.0
2,39,"Studious , Motivated , Calm , Relaxed , Content",2022-02-15 15:16:55,2,True,4.0,1.0,0.0,0.0,9,1,0.8176,0.81,0.0,4.333333333333333,0,0,0,15,1,2021-06-08 15:11:55,252,3.5555555555555554,1.5555555555555556,4.0,1.0,0.8819171036881968,9,1.0
